ID,Data,Time
Solution,"[[1.731e-01]
 [1.902e-01]
 [1.609e-01]
 [1.821e-01]
 [7.920e-02]
 [1.400e-01]
 [6.690e-02]
 [1.369e-01]
 [4.830e-02]
 [1.331e-01]
 [1.000e-04]
 [1.238e-01]
 [6.290e-02]
 [1.406e-01]
 [1.153e-01]
 [1.622e-01]
 [1.252e-01]
 [1.668e-01]
 [1.000e-04]
 [1.180e-01]
 [0.000e+00]
 [8.180e-02]
 [1.000e-04]
 [1.229e-01]
 [5.410e-02]
 [1.446e-01]
 [4.280e-02]
 [1.417e-01]
 [3.420e-02]
 [1.401e-01]
 [2.440e-02]
 [1.387e-01]
 [4.700e-03]
 [1.372e-01]
 [1.020e-02]
 [1.335e-01]
 [3.760e-02]
 [1.374e-01]
 [5.600e-02]
 [1.406e-01]
 [7.140e-02]
 [1.435e-01]
 [1.257e-01]
 [1.643e-01]
 [1.068e-01]
 [1.535e-01]
 [1.372e-01]
 [1.687e-01]]",84935.631
demand_pred,"[[0.29658]
 [0.31331]
 [0.30683]
 [0.28956]
 [0.2696 ]
 [0.25575]
 [0.246  ]
 [0.24659]
 [0.2499 ]
 [0.25483]
 [0.24569]
 [0.22914]
 [0.19951]
 [0.1853 ]
 [0.17509]
 [0.1638 ]
 [0.14267]
 [0.12519]
 [0.115  ]
 [0.11448]
 [0.10924]
 [0.11511]
 [0.13662]
 [0.20151]]",84935.637
electricity_price,"[[0.05]
 [0.06]
 [0.08]
 [0.09]
 [0.09]
 [0.1 ]
 [0.11]
 [0.11]
 [0.11]
 [0.14]
 [0.16]
 [0.15]
 [0.15]
 [0.13]
 [0.13]
 [0.12]
 [0.11]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]]",84935.638
Simulated_hour,8,85523.558
tower_tank_level,536,85523.571
Solution,"[[1.543e-01]
 [1.780e-01]
 [7.930e-02]
 [1.400e-01]
 [6.710e-02]
 [1.370e-01]
 [4.840e-02]
 [1.331e-01]
 [1.000e-04]
 [1.238e-01]
 [6.300e-02]
 [1.406e-01]
 [1.153e-01]
 [1.622e-01]
 [1.253e-01]
 [1.667e-01]
 [1.000e-04]
 [1.180e-01]
 [0.000e+00]
 [8.170e-02]
 [0.000e+00]
 [1.228e-01]
 [5.420e-02]
 [1.445e-01]
 [4.290e-02]
 [1.417e-01]
 [3.430e-02]
 [1.400e-01]
 [2.450e-02]
 [1.386e-01]
 [4.800e-03]
 [1.371e-01]
 [2.330e-02]
 [1.350e-01]
 [4.670e-02]
 [1.389e-01]
 [6.340e-02]
 [1.422e-01]
 [7.790e-02]
 [1.449e-01]
 [1.307e-01]
 [1.659e-01]
 [1.120e-01]
 [1.548e-01]
 [1.415e-01]
 [1.702e-01]
 [1.250e-01]
 [1.613e-01]]",85535.26
demand_pred,"[[0.31331]
 [0.30683]
 [0.28956]
 [0.2696 ]
 [0.25575]
 [0.246  ]
 [0.24659]
 [0.2499 ]
 [0.25483]
 [0.24569]
 [0.22914]
 [0.19951]
 [0.1853 ]
 [0.17509]
 [0.1638 ]
 [0.14267]
 [0.12519]
 [0.115  ]
 [0.11448]
 [0.10924]
 [0.11511]
 [0.13662]
 [0.20151]
 [0.27057]]",85535.262
electricity_price,"[[0.06]
 [0.08]
 [0.09]
 [0.09]
 [0.1 ]
 [0.11]
 [0.11]
 [0.11]
 [0.14]
 [0.16]
 [0.15]
 [0.15]
 [0.13]
 [0.13]
 [0.12]
 [0.11]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.05]]",85535.263
Simulated_hour,9,86123.576
tower_tank_level,571,86123.582
Solution,"[[0.0799]
 [0.1394]
 [0.0668]
 [0.1361]
 [0.047 ]
 [0.132 ]
 [0.0006]
 [0.1222]
 [0.0582]
 [0.1384]
 [0.1146]
 [0.1614]
 [0.1246]
 [0.1659]
 [0.0006]
 [0.1159]
 [0.0006]
 [0.0791]
 [0.0006]
 [0.1204]
 [0.0561]
 [0.1446]
 [0.0449]
 [0.1417]
 [0.0365]
 [0.1399]
 [0.0268]
 [0.1382]
 [0.0074]
 [0.1365]
 [0.0283]
 [0.1354]
 [0.0505]
 [0.1392]
 [0.0668]
 [0.1424]
 [0.0809]
 [0.145 ]
 [0.1332]
 [0.1664]
 [0.1143]
 [0.1551]
 [0.1436]
 [0.1704]
 [0.1267]
 [0.1612]
 [0.134 ]
 [0.1654]]",86135.821
demand_pred,"[[0.30683]
 [0.28956]
 [0.2696 ]
 [0.25575]
 [0.246  ]
 [0.24659]
 [0.2499 ]
 [0.25483]
 [0.24569]
 [0.22914]
 [0.19951]
 [0.1853 ]
 [0.17509]
 [0.1638 ]
 [0.14267]
 [0.12519]
 [0.115  ]
 [0.11448]
 [0.10924]
 [0.11511]
 [0.13662]
 [0.20151]
 [0.27057]
 [0.29823]]",86135.822
electricity_price,"[[0.08]
 [0.09]
 [0.09]
 [0.1 ]
 [0.11]
 [0.11]
 [0.11]
 [0.14]
 [0.16]
 [0.15]
 [0.15]
 [0.13]
 [0.13]
 [0.12]
 [0.11]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.05]
 [0.06]]",86135.823
Simulated_hour,10,86723.598
tower_tank_level,525,86723.603
Solution,"[[6.220e-02]
 [1.345e-01]
 [4.190e-02]
 [1.308e-01]
 [1.000e-04]
 [1.209e-01]
 [5.180e-02]
 [1.369e-01]
 [1.134e-01]
 [1.610e-01]
 [1.236e-01]
 [1.656e-01]
 [1.000e-04]
 [1.156e-01]
 [0.000e+00]
 [7.930e-02]
 [1.000e-04]
 [1.204e-01]
 [5.440e-02]
 [1.444e-01]
 [4.290e-02]
 [1.417e-01]
 [3.460e-02]
 [1.399e-01]
 [2.460e-02]
 [1.385e-01]
 [5.100e-03]
 [1.370e-01]
 [2.540e-02]
 [1.353e-01]
 [4.810e-02]
 [1.392e-01]
 [6.470e-02]
 [1.424e-01]
 [7.890e-02]
 [1.451e-01]
 [1.316e-01]
 [1.662e-01]
 [1.129e-01]
 [1.550e-01]
 [1.423e-01]
 [1.703e-01]
 [1.259e-01]
 [1.613e-01]
 [1.324e-01]
 [1.652e-01]
 [1.130e-01]
 [1.550e-01]]",86735.578
demand_pred,"[[0.28956]
 [0.2696 ]
 [0.25575]
 [0.246  ]
 [0.24659]
 [0.2499 ]
 [0.25483]
 [0.24569]
 [0.22914]
 [0.19951]
 [0.1853 ]
 [0.17509]
 [0.1638 ]
 [0.14267]
 [0.12519]
 [0.115  ]
 [0.11448]
 [0.10924]
 [0.11511]
 [0.13662]
 [0.20151]
 [0.27057]
 [0.29823]
 [0.29995]]",86735.581
electricity_price,"[[0.09]
 [0.09]
 [0.1 ]
 [0.11]
 [0.11]
 [0.11]
 [0.14]
 [0.16]
 [0.15]
 [0.15]
 [0.13]
 [0.13]
 [0.12]
 [0.11]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.05]
 [0.06]
 [0.07]]",86735.581
