ID,Data,Time
flow,0.0,81583.36
Pump_percentage,61.3,81583.361
flow,0.0,81584.375
Pump_percentage,61.4,81584.377
flow,0.0306,81585.392
Pump_percentage,61.3,81585.393
flow,0.051,81586.392
Pump_percentage,61.2,81586.394
flow,0.0636,81587.396
Pump_percentage,61.1,81587.398
flow,0.072,81588.4
Pump_percentage,60.9,81588.402
flow,0.0756,81589.416
Pump_percentage,60.7,81589.418
flow,0.075,81590.416
Pump_percentage,60.6,81590.417
flow,0.0678,81591.432
Pump_percentage,60.5,81591.434
flow,0.057,81592.436
Pump_percentage,60.5,81592.438
flow,0.0456,81593.448
Pump_percentage,60.5,81593.45
flow,0.0198,81594.464
Pump_percentage,60.6,81594.465
flow,0.006,81595.464
Pump_percentage,60.7,81595.465
flow,0.0018,81596.469
Pump_percentage,60.8,81596.471
flow,0.0,81597.484
Pump_percentage,61.0,81597.485
flow,0.0,81598.485
Pump_percentage,61.1,81598.486
flow,0.0,81599.496
Pump_percentage,61.2,81599.497
flow,0.0,81600.496
Pump_percentage,61.3,81600.497
flow,0.0,81601.496
Pump_percentage,61.4,81601.498
flow,0.033,81602.499
Pump_percentage,61.3,81602.501
flow,0.0528,81603.504
Pump_percentage,61.2,81603.506
flow,0.0666,81604.508
Pump_percentage,61.0,81604.509
flow,0.0738,81605.52
Pump_percentage,60.9,81605.521
flow,0.0786,81606.52
Pump_percentage,60.7,81606.522
flow,0.0768,81607.524
Pump_percentage,60.5,81607.526
flow,0.069,81608.528
Pump_percentage,60.4,81608.529
flow,0.0558,81609.528
Pump_percentage,60.4,81609.529
flow,0.036,81610.544
Pump_percentage,60.5,81610.546
flow,0.012,81611.555
Pump_percentage,60.6,81611.557
flow,0.003,81612.573
Pump_percentage,60.7,81612.575
flow,0.0006,81613.572
Pump_percentage,60.9,81613.573
flow,0.0,81614.589
Pump_percentage,61.0,81614.59
flow,0.0,81615.604
Pump_percentage,61.1,81615.606
flow,0.0,81616.62
Pump_percentage,61.2,81616.621
flow,0.0108,81617.62
Pump_percentage,61.3,81617.621
flow,0.0408,81618.632
Pump_percentage,61.1,81618.634
flow,0.0588,81619.636
Pump_percentage,61.0,81619.637
flow,0.069,81620.636
Pump_percentage,60.8,81620.638
flow,0.075,81621.652
Pump_percentage,60.7,81621.654
flow,0.072,81622.657
Pump_percentage,60.5,81622.658
flow,0.0618,81623.674
Pump_percentage,60.5,81623.675
flow,0.051,81624.684
Pump_percentage,60.4,81624.686
flow,0.0396,81625.687
Pump_percentage,60.5,81625.689
flow,0.015,81626.704
Pump_percentage,60.6,81626.706
flow,0.0048,81627.704
Pump_percentage,60.7,81627.705
flow,0.0006,81628.708
Pump_percentage,60.9,81628.71
flow,0.0,81629.712
Pump_percentage,61.0,81629.714
flow,0.0,81630.724
Pump_percentage,61.1,81630.726
flow,0.0,81631.729
Pump_percentage,61.2,81631.73
flow,0.0,81632.732
Pump_percentage,61.3,81632.734
flow,0.021,81633.736
Pump_percentage,61.3,81633.738
flow,0.045,81634.741
Pump_percentage,61.2,81634.743
flow,0.06,81635.744
Pump_percentage,61.0,81635.746
flow,0.0666,81636.757
Pump_percentage,60.9,81636.758
flow,0.072,81637.76
Pump_percentage,60.8,81637.762
flow,0.072,81638.764
Pump_percentage,60.6,81638.765
flow,0.063,81639.773
Pump_percentage,60.5,81639.774
flow,0.0498,81640.784
Pump_percentage,60.5,81640.785
flow,0.0408,81641.792
Pump_percentage,60.5,81641.794
flow,0.021,81642.796
Pump_percentage,60.6,81642.798
flow,0.0066,81643.801
Pump_percentage,60.8,81643.802
flow,0.0018,81644.811
Pump_percentage,60.9,81644.813
flow,0.0,81645.82
Pump_percentage,61.0,81645.821
flow,0.0,81646.82
Pump_percentage,61.1,81646.821
flow,0.0,81647.823
Pump_percentage,61.3,81647.826
flow,0.0,81648.828
Pump_percentage,61.4,81648.83
flow,0.0096,81649.844
Pump_percentage,61.4,81649.845
flow,0.039,81650.852
Pump_percentage,61.3,81650.854
flow,0.057,81651.856
Pump_percentage,61.2,81651.858
flow,0.072,81652.865
Pump_percentage,61.0,81652.867
flow,0.0798,81653.869
Pump_percentage,60.8,81653.871
flow,0.0786,81654.884
Pump_percentage,60.6,81654.886
flow,0.0738,81655.9
Pump_percentage,60.5,81655.902
flow,0.063,81656.913
Pump_percentage,60.4,81656.914
flow,0.048,81657.924
Pump_percentage,60.4,81657.926
flow,0.0186,81658.916
Pump_percentage,60.6,81658.918
flow,0.006,81659.924
Pump_percentage,60.7,81659.926
flow,0.0006,81660.932
Pump_percentage,60.9,81660.934
flow,0.0,81661.932
Pump_percentage,61.0,81661.934
flow,0.0,81662.937
Pump_percentage,61.1,81662.939
flow,0.0,81663.936
Pump_percentage,61.2,81663.938
flow,0.0,81664.944
Pump_percentage,61.3,81664.946
flow,0.0276,81665.948
Pump_percentage,61.3,81665.95
flow,0.051,81666.953
Pump_percentage,61.1,81666.954
flow,0.0666,81667.964
Pump_percentage,60.9,81667.966
flow,0.0768,81668.976
Pump_percentage,60.8,81668.977
flow,0.0786,81669.984
Pump_percentage,60.6,81669.986
flow,0.0726,81671.0
Pump_percentage,60.5,81671.002
flow,0.0618,81672.008
Pump_percentage,60.4,81672.009
flow,0.048,81673.016
Pump_percentage,60.4,81673.018
flow,0.0336,81674.02
Pump_percentage,60.5,81674.021
flow,0.0108,81675.024
Pump_percentage,60.6,81675.025
flow,0.003,81676.024
Pump_percentage,60.7,81676.026
flow,0.0006,81677.028
Pump_percentage,60.9,81677.029
flow,0.0,81678.032
Pump_percentage,61.0,81678.034
flow,0.0,81679.043
Pump_percentage,61.1,81679.045
flow,0.0,81680.052
Pump_percentage,61.2,81680.054
flow,0.0006,81681.056
Pump_percentage,61.3,81681.058
flow,0.0336,81682.06
Pump_percentage,61.2,81682.061
flow,0.054,81683.076
