ID,Data
secret,"[[0.4487]
 [0.4607]
 [0.4489]
 [0.4611]
 [0.4454]
 [0.4576]
 [0.4686]
 [0.4788]
 [0.469 ]
 [0.4798]
 [0.499 ]
 [0.5099]
 [0.498 ]
 [0.5104]
 [0.489 ]
 [0.5038]
 [0.4444]
 [0.4658]
 [0.4404]
 [0.4644]
 [0.4354]
 [0.4619]
 [0.4229]
 [0.4531]
 [0.432 ]
 [0.4631]
 [0.4455]
 [0.4765]
 [0.4498]
 [0.4821]
 [0.4058]
 [0.4471]
 [0.3716]
 [0.4215]
 [0.3978]
 [0.4452]
 [0.4294]
 [0.4732]
 [0.4673]
 [0.5036]
 [0.4798]
 [0.5141]
 [0.5031]
 [0.5332]
 [0.5329]
 [0.5576]
 [0.7022]
 [0.7086]]"
b2,"(48, 1)"
secret,"[[0.2901]
 [0.2989]
 [0.2903]
 [0.2992]
 [0.2878]
 [0.2967]
 [0.3048]
 [0.3122]
 [0.3051]
 [0.3129]
 [0.3272]
 [0.3351]
 [0.3271]
 [0.336 ]
 [0.3206]
 [0.3312]
 [0.2881]
 [0.3035]
 [0.2852]
 [0.3026]
 [0.2817]
 [0.3009]
 [0.2728]
 [0.2946]
 [0.2796]
 [0.3021]
 [0.2897]
 [0.3121]
 [0.2931]
 [0.3164]
 [0.2611]
 [0.291 ]
 [0.2365]
 [0.2726]
 [0.256 ]
 [0.2904]
 [0.2796]
 [0.3113]
 [0.3051]
 [0.3314]
 [0.3144]
 [0.3392]
 [0.3316]
 [0.3533]
 [0.3533]
 [0.3712]
 [0.4772]
 [0.4817]]"
b2,"(1, 1)"
secret,[[0.0191]]
b2,"(48, 1)"
secret,"[[0.4268]
 [0.4402]
 [0.4272]
 [0.4405]
 [0.4235]
 [0.4368]
 [0.4491]
 [0.4606]
 [0.4498]
 [0.4615]
 [0.4825]
 [0.4944]
 [0.484 ]
 [0.4975]
 [0.4739]
 [0.4902]
 [0.4243]
 [0.448 ]
 [0.4201]
 [0.4465]
 [0.415 ]
 [0.4439]
 [0.4012]
 [0.4344]
 [0.4118]
 [0.4459]
 [0.4272]
 [0.4613]
 [0.4325]
 [0.4681]
 [0.3836]
 [0.4293]
 [0.3463]
 [0.4013]
 [0.3763]
 [0.4287]
 [0.4119]
 [0.4603]
 [0.4475]
 [0.4875]
 [0.4619]
 [0.4993]
 [0.4878]
 [0.5209]
 [0.521 ]
 [0.548 ]
 [0.7101]
 [0.7169]]"
b2,"(48, 1)"
secret,"[[0.2868]
 [0.2966]
 [0.2871]
 [0.2969]
 [0.2844]
 [0.2942]
 [0.3033]
 [0.3118]
 [0.3039]
 [0.3125]
 [0.3278]
 [0.3366]
 [0.3299]
 [0.3398]
 [0.3224]
 [0.3343]
 [0.2858]
 [0.3032]
 [0.2827]
 [0.3021]
 [0.2791]
 [0.3003]
 [0.269 ]
 [0.2934]
 [0.2769]
 [0.302 ]
 [0.2885]
 [0.3136]
 [0.2925]
 [0.3187]
 [0.2566]
 [0.2901]
 [0.2291]
 [0.2697]
 [0.2517]
 [0.2902]
 [0.2781]
 [0.3137]
 [0.302 ]
 [0.3314]
 [0.3127]
 [0.3402]
 [0.3319]
 [0.3562]
 [0.3565]
 [0.3763]
 [0.4964]
 [0.5013]]"
b2,"(1, 1)"
